Rnk.,Gokart,Kierowca,Okrążenia,Różnica,Najlepsze okrążenie,Kara,Finał
1,1,POTULLL,11,0,51.719,0,A
2,15,KORNEL P.,11,17.185,51.884,0,A
3,44,JORDAN K,11,19.021,52.667,0,A
4,12,HUBERT CH,11,19.289,52.541,0,A
5,46,SCOOBANY635,11,20.906,53.185,0,A
6,2,OSKI96,11,24.794,52.649,0,A
7,11,ZĄBEK_B,11,25.829,52.649,0,A
8,31,MACIEJ K,11,27.792,52.689,0,A
9,18,KOWAL123,11,30.936,52.627,0,A
10,23,MIKOŁAJ T.,11,35.666,53.952,0,A
11,48,W PIOTR,11,39.517,53.083,0,A
