Rnk.,Gokart,Kierowca,Okrążenia,Różnica,Najlepsze okrążenie,Kara,Finał
1,44,OSKI96,45,0,24.509,0,A
2,53,JORDAN K,45,0,24.646,0,A
3,49,HUBERT CH,45,0,24.549,0,A
4,55,POTULLL,45,0,24.521,0,A
5,52,KORNEL P.,45,0,24.695,0,A
6,43,ZĄBEK_B,45,0,24.761,0,A
7,41,MIKOŁAJ T.,44,0,25.004,0,A
8,46,M_C,43,0,24.824,0,A
9,48,RAFAŁ M.,43,0,25.878,0,A
